attachment,file,width,height,min,max,mean,std,p01,p99,edge_density,sha256
附件1,附件1\图1-1.jpg,244,1350,18.0,255.0,176.0359,28.9176,120.0,255.0,0.292222,ce163d3303078f666b49d1aa0119d69da81bf81914477147e8e7ddea714031ca
附件1,附件1\图1-10.jpg,244,1350,16.0,255.0,172.0626,35.0069,86.0,255.0,0.270094,684904e0d6002f340175c5ae6c3275d3270a4d1286789bc7d16d30934ec8ed89
附件1,附件1\图1-2.jpg,244,1350,0.0,255.0,107.8503,40.844,12.0,205.0,0.282325,2308e12dc769886cf4bf299d8796260eb05ba5dcad3c3e4ec25c2c9a39ef6407
附件1,附件1\图1-3.jpg,244,1350,18.0,255.0,163.8213,39.9264,106.0,255.0,0.149441,274642a896ce6f19b146b4efe5f5c44cb245156650cf973458304b5597a42dfc
附件1,附件1\图1-4.jpg,244,1350,18.0,255.0,178.1801,28.316,124.0,255.0,0.271275,e35cd738091e7aaecf9764f0c96616ff4c34ba042bc9a0989056f14dc73b5826
附件1,附件1\图1-5.jpg,244,1350,18.0,255.0,172.9769,32.468,124.0,255.0,0.168962,d8c35085a58da7810eeef606311bb467f271bd533f2454d6a317f355d9f2bda9
附件1,附件1\图1-6.jpg,244,1350,18.0,255.0,177.0046,29.2165,117.0,255.0,0.264402,103998fad76ae5c6f301d5dea07ce8661817d046020cd8b2d665c20c885b8159
附件1,附件1\图1-7.jpg,244,1350,18.0,255.0,172.9567,26.7503,119.0,255.0,0.193479,6ed7bc9acd69a6ac5c6570b33ed2bd4650c6a4a3503a00617746c530587ec16b
附件1,附件1\图1-8.jpg,244,1350,18.0,255.0,180.9138,28.8331,134.0,255.0,0.210264,8bca02f788bfe7190643e4e6ab75e92bb442fff5b1e1f3e79f8528daeda27c1c
附件1,附件1\图1-9.jpg,244,1350,18.0,255.0,175.9888,33.3388,108.0,255.0,0.308015,639701c36c7500f0c97ba2ddc08192725d8633bd33f6c17179e7dbf3dc7114aa
附件2,附件2\图2-1.jpg,244,1350,3.0,255.0,127.7699,24.4257,67.0,177.0,0.1368,4310ae748e4fc18e6da782855bf440621598b319baa176d4d9207d7338837a6c
附件2,附件2\图2-10.jpg,244,1350,32.0,255.0,100.4968,24.1395,62.0,178.0,0.163455,549b623ecac453bafc2781c4dbfdf9addbe3e6e5cf609e5c7067b68431ffd93d
