image,R_pixel,P_pixel,beta_rad,C_pixel,R2
图2-1.jpg,75.5478,244,2.394128,599.209,0.142831
图2-2.jpg,78.6958,244,-0.87698,658.1639,0.105295
图2-3.jpg,160.4112,244,-2.782095,681.2193,0.085265
图2-4.jpg,119.6857,244,0.063841,532.4877,0.128106
图2-5.jpg,84.2987,244,1.516971,675.1393,0.165114
图2-6.jpg,105.4859,244,2.91201,754.4939,0.18944
图2-7.jpg,85.5775,244,0.537784,748.0553,0.075157
图2-8.jpg,169.7845,244,1.997406,673.0102,0.189084
图2-9.jpg,20.4346,244,-1.992549,805.3709,0.005585
图2-10.jpg,175.734,244,0.292313,737.2602,0.404554
