hole_a,hole_b,segment_start_m,connectivity_score,feature_difference
1,2,0,0.877027,0.00164
1,2,1,0.91339,0.001132
1,2,2,0.650874,0.005368
1,2,3,0.86924,0.001752
1,2,4,0.722967,0.004055
1,2,5,0.720321,0.004101
1,2,6,0.916699,0.001087
2,3,0,0.977431,0.000285
2,3,1,0.921089,0.001027
2,3,2,0.947836,0.00067
2,3,3,0.81891,0.002497
2,3,4,0.87585,0.001657
2,3,5,0.921591,0.001021
2,3,6,0.999061,1.2e-05
4,5,0,0.97678,0.000294
4,5,1,0.891703,0.001433
4,5,2,0.856264,0.00194
4,5,3,0.887579,0.001491
4,5,4,0.750603,0.003586
5,6,0,0.985282,0.000185
5,6,1,0.993797,7.8e-05
5,6,2,0.860408,0.001879
5,6,3,0.953482,0.000595
5,6,4,0.792737,0.002903
5,6,5,0.923259,0.000998
5,6,6,0.889436,0.001465
1,4,0,0.899901,0.001318
1,4,1,0.968302,0.000403
1,4,2,0.647785,0.005427
1,4,3,0.803336,0.002737
1,4,4,0.710529,0.004272
2,5,0,0.99775,2.8e-05
2,5,1,0.945312,0.000703
2,5,2,0.860348,0.00188
2,5,3,0.820285,0.002476
2,5,4,0.763742,0.003369
2,5,5,0.898411,0.001339
2,5,6,0.965753,0.000436
3,6,0,0.960878,0.000499
3,6,1,0.980457,0.000247
3,6,2,0.947903,0.000669
3,6,3,0.951885,0.000616
3,6,4,0.909101,0.001191
3,6,5,0.94708,0.00068
3,6,6,0.859783,0.001888
