hole,segment_start_m,edge_density,mean_intensity
1,0,0.10218264790371259,157.9371795654297
2,0,0.10054242977023058,162.6060028076172
3,0,0.10025708661099192,160.6623077392578
4,0,0.10086426150160197,161.16986083984375
5,0,0.10057058531204927,158.5002899169922
6,0,0.10075593210751932,164.75973510742188
1,1,0.10253604414384931,162.14207458496094
2,1,0.10140363582738406,164.492919921875
3,1,0.10037614793805477,160.63937377929688
4,1,0.10213340727003867,168.961181640625
5,1,0.10070063108816245,160.67025756835938
6,1,0.10062285613856466,165.7996368408203
1,2,0.10560714458868162,158.7626190185547
2,2,0.10023915797001322,161.3896484375
3,2,0.10090883058797862,159.88470458984375
4,2,0.10017969043549932,163.16616821289062
5,2,0.10211939262814686,159.8849334716797
6,2,0.10024004177625864,172.60269165039062
1,3,0.10428964199281643,142.48973083496094
2,3,0.10253793801437523,162.0021514892578
3,3,0.10004068033889676,156.83221435546875
4,3,0.10155236779268632,164.47703552246094
5,3,0.10006163917271695,157.46559143066406
6,3,0.10065707206606628,168.67660522460938
1,4,0.10463546275084946,149.4691925048828
2,4,0.1005805596968191,156.68527221679688
3,4,0.10223757014896429,151.19679260253906
4,4,0.1003636483925837,156.8551788330078
5,4,0.1039496291043962,156.19155883789062
6,4,0.10104632558816043,164.27561950683594
1,5,0.10420265020665916,175.16635131835938
2,5,0.10010191548590153,163.4768524169922
3,5,0.10112258544133748,156.1079559326172
5,5,0.10144100820576221,171.41201782226562
6,5,0.10044293843860223,166.32992553710938
1,6,0.10109657628611485,159.03515625
2,6,0.10000936834620155,152.91748046875
3,6,0.10002111034346226,153.41851806640625
5,6,0.10044495856716322,166.7471160888672
6,6,0.1019095517738749,173.20635986328125
